Kind,Race,Name,Description,Level,Frequency,Difficulty,Challenge,Size,Material,Weight,Speed,Defence,Strategy,Flags,STR,DEX,CON,INT,WIS,CHA
bat,,harpy,,16,1,18,397,medium,animal,10000,"5,0",21,defend,,12,17,12,7,10,13
bat,,hellbat,,7,1,9,69,large,animal,10000,"5,0",10,defend,,15,17,16,11,15,13
bat,,mobat,,10,1,12,152,medium,animal,3000,"5,0",13,defend,,17,21,17,6,14,6
bat,,mongbat,,7,1,9,55,medium,animal,12000,"5,0",9,defend,,15,19,16,6,14,6
bat,,nightgaunt,,27,2,27,827,medium,animal,13000,"5,0",24,defend,,22,16,18,8,13,8
bat,,rhumbat,,7,1,9,54,medium,animal,6000,"5,0",11,defend,,16,14,12,3,13,6
bat,,vampire bat,,13,2,15,225,small,animal,300,"5,0",18,attack,,15,17,12,4,14,6
beast,,ape,,4,2,6,17,large,animal,11000,"3,7",13,attack,DOMESTIC,13,13,12,6,10,6
beast,,bugbear,,17,1,19,466,large,animal,22000,"3,3",18,attack,,18,11,14,9,11,7
beast,,carnivorous ape,,6,1,8,40,large,animal,40000,"3,7",13,attack,DOMESTIC,16,13,14,8,12,7
beast,,jabberwock,,25,1,28,938,large,animal,150000,"3,7",20,attack,,21,16,18,12,14,12
beast,,monkey,,2,1,4,7,small,animal,1000,"3,7",12,attack,DOMESTIC,11,15,10,8,11,7
beast,,owlbear,,7,3,9,72,large,animal,60000,"3,7",16,attack,,20,12,17,3,12,7
beast,,sasquatch,,15,1,17,395,large,animal,70000,"5,0",13,attack,,18,13,16,8,12,7
beast,,storm ape,"An ape with a crackling, wire-taut hide, native to the thunderheads above the high peaks.",6,1,8,55,large,animal,11000,"3,7",14,attack,,15,14,13,6,10,6
beast,,treant,,27,1,26,754,huge,wood,150000,"2,0",16,attack,,23,8,21,12,16,12
beast,,vorpal jabberwock,,35,1,36,1335,large,animal,250000,"3,7",26,attack,,24,18,20,12,14,11
beast,,xorn,,8,3,11,91,medium,animal,12000,"2,5",22,attack,,16,11,18,7,9,6
beast,,yeti,,8,2,10,76,large,animal,42000,"5,0",20,attack,,18,13,16,8,12,7
beast,,zruty,,12,2,15,241,large,animal,20000,"2,0",18,attack,,15,8,18,8,9,10
bird,,adult raven,,6,2,8,63,small,animal,400,"5,0",13,defend,DOMESTIC,10,14,14,8,12,6
bird,,chickatrice,,3,1,5,60,tiny,animal,100,"2,5",12,attack,,4,10,10,2,11,3
bird,,chicken,,2,1,1,2,small,animal,1000,"5,0",12,defend,DOMESTIC,10,10,11,3,6,6
bird,,cockatoo,,3,1,4,13,small,animal,750,"5,0",14,defend,DOMESTIC,10,14,9,3,12,13
bird,,cockatrice,,5,6,7,129,small,animal,2500,"2,5",14,attack,,6,12,12,2,13,5
bird,,duck,"A plump waterfowl, unbothered by dungeons so long as there is a puddle nearby.",1,2,1,1,small,animal,900,"4,0",11,defend,DOMESTIC,6,11,8,2,5,6
bird,,fledgling raven,,2,2,3,11,small,animal,400,"5,0",13,defend,DOMESTIC,6,14,10,5,5,8
bird,,juvenile raven,,4,2,6,33,small,animal,400,"5,0",13,defend,DOMESTIC,8,12,12,6,9,7
bird,,parrot,,8,1,9,53,small,animal,750,"5,0",14,defend,DOMESTIC,8,14,11,3,12,14
bird,,pyrolisk,,11,1,13,203,small,animal,3000,"2,5",18,attack,,3,12,14,4,15,7
bird,,storm raven,"A raven with feathers like beaten iron, riding the thunderheads and stooping with a crack of static.",8,1,10,90,small,animal,400,"5,0",15,attack,,11,15,15,8,12,6
blob,,acid blob,This strange living bubble of corrosive fluids doesn't appear to have any offensive capabilities.,1,3,2,4,tiny,vegetable,300,"2,0",14,defend,,2,6,6,1,2,1
blob,,burbling blob,,14,1,15,278,large,vegetable,2000,"2,0",13,defend,,14,8,20,3,10,3
blob,,gelatinous cube,,6,3,8,52,large,vegetable,6000,"2,0",12,defend,,14,3,20,1,6,1
blob,,jiggling blob,,10,1,11,174,large,vegetable,2000,"2,0",13,defend,,13,8,17,3,8,3
blob,,lava blob,,10,1,12,194,large,vegetable,2000,"2,0",18,defend,,14,8,17,3,8,3
blob,,quivering blob,,5,3,6,29,small,vegetable,2000,"1,5",14,defend,,12,6,18,1,5,1
blob,,static blob,,12,1,14,258,large,vegetable,2000,"2,0",21,defend,,14,8,16,3,7,3
cat,,Byakko,"The white tiger of the west, in whose season metal is forged and old things are cut away.",17,0,15,490,large,animal,60000,"6,0",21,attack,UNIQUE,20,18,17,12,18,16
cat,,caterwaul,,6,1,8,42,medium,animal,6000,"7,5",13,attack,,10,16,10,5,14,9
cat,,displacer beast,,30,1,32,1450,large,animal,23000,"3,7",26,attack,,18,15,16,6,12,8
cat,,ember panther,"A panther whose black coat smoulders at the edges, leaving smoking pawprints on stone.",9,1,11,95,medium,animal,12000,"5,0",19,attack,,16,16,12,3,14,7
cat,,frost lynx,"A lynx with a rime-white winter coat, breath fogging even in a warm room.",13,1,15,235,small,animal,6500,"5,0",18,attack,,12,17,11,3,14,7
cat,,hellcat,,19,1,21,531,large,animal,24000,"3,7",19,attack,,19,17,15,10,14,10
cat,,housecat,,4,7,5,20,small,animal,2000,"5,0",13,attack,DOMESTIC,12,16,12,3,12,7
cat,,jaguar,,16,2,18,374,medium,animal,9500,"5,0",20,attack,,14,15,10,3,14,7
cat,,kamadan,,9,1,12,161,large,animal,20000,"3,7",17,attack,,18,15,15,5,12,9
cat,,kitten,,2,7,3,8,small,animal,1500,"5,0",12,defend,DOMESTIC,10,14,10,3,12,7
cat,,large cat,,6,7,7,40,medium,animal,12000,"5,0",14,attack,DOMESTIC,14,18,14,3,12,7
cat,,lynx,,11,1,13,208,small,animal,6000,"5,0",17,attack,,12,17,10,3,14,7
cat,,panther,,7,1,9,45,medium,animal,12000,"5,0",18,attack,,14,15,10,3,14,7
cat,,pheral khit,"The young of the pheral: all claws, and no patience whatever.",8,2,6,130,medium,animal,9000,"4,0",13,attack,,12,17,11,10,10,9
cat,,pheral pharaoh,"Wrapped, crowned, and extremely displeased to have been woken.",26,1,22,850,medium,animal,12000,"4,0",20,attack,GUARDIAN,19,18,17,15,16,18
cat,,pheral sentinel,"Stands at the door of the tomb with a blade in either hand, and has been standing there a very long time.",13,1,10,235,medium,animal,11000,"3,7",16,attack,,15,16,13,10,11,10
cat,,pheral vizier,He does not fight. He arranges matters so that the fighting has already been decided.,15,1,13,380,medium,animal,10000,"3,7",14,attack,,10,14,11,16,17,14
cat,,sabre-toothed cat,,23,1,25,691,large,animal,30000,"3,7",20,attack,,18,16,15,3,12,8
cat,,tiger,,12,2,15,252,large,animal,50000,"3,7",13,attack,,17,15,14,3,12,8
centaur,,forest centaur,,10,3,12,160,large,animal,75500,"5,0",20,attack,,18,14,14,9,13,11
centaur,,mountain centaur,,18,3,24,520,large,animal,85500,"5,0",24,attack,,18,14,14,9,13,11
centaur,,plains centaur,,4,3,6,25,large,animal,65500,"5,0",16,attack,,18,14,14,9,13,11
changeling,changeling,changeling,"Shape-shifting deviants, who thrive on their deceptive talents.",0,0,0,0,small,animal,5000,"3,3",10,attack,BASE,10,10,10,10,10,10
demon,,Asmodeus,,75,0,80,10164,huge,animal,44000,"4,0",30,attack,UNIQUE,24,22,26,23,25,30
demon,,Baalzebub,,75,0,80,10889,large,animal,28000,"3,3",29,attack,UNIQUE,22,24,26,24,20,22
demon,,babau,,9,1,14,239,large,animal,14500,"5,0",20,attack,,18,18,18,13,14,16
demon,,balrog,,35,1,38,1236,large,animal,32000,"2,5",28,attack,,22,12,20,19,16,23
demon,,bar-lgura,,32,1,35,1303,large,animal,22000,"5,0",26,attack,,23,15,23,12,16,18
demon,,barbed devil,,28,2,30,1073,medium,animal,14500,"4,0",21,attack,,16,17,18,12,14,14
demon,,bearded devil,,29,1,31,1088,medium,animal,14500,"5,0",24,attack,,18,15,15,9,11,11
demon,,bone devil,,29,2,33,1435,large,bone,19000,"5,0",24,attack,,18,16,18,13,14,16
demon,,chasme,,22,1,27,959,medium,animal,12000,"5,0",27,attack,,16,10,19,18,12,13
demon,,Cthulhu,,90,0,95,20837,gargantuan,animal,11000000,"5,0",22,attack,UNIQUE,27,27,28,24,26,27
demon,,Death,,45,0,50,4311,medium,animal,10000,"4,0",18,attack,UNIQUE,6,24,26,25,25,18
demon,,Demogorgon,,50,0,55,5549,huge,animal,300000,"5,0",15,attack,UNIQUE,21,24,28,25,27,27
demon,demon,demon,"Perverse creatures of many aberrations but always with crimson skin and horns. Their mere presence compels others to act out their darkest, most violent desires.",0,0,0,0,large,animal,25000,"4,0",10,attack,BASE,10,10,10,10,10,10
demon,orc,demon orc,,19,1,21,606,medium,animal,22000,"4,0",13,attack,,18,14,19,8,8,7
demon,,Dispater,,75,0,80,10951,medium,animal,19500,"5,0",30,attack,UNIQUE,19,23,27,22,22,25
demon,,doppelgänger,,8,1,10,129,medium,animal,14500,"3,7",13,attack,,11,14,14,14,15,13
demon,,erinys,,34,1,37,1305,medium,animal,14000,"4,0",24,attack,,24,23,24,21,20,18
demon,,Famine,,45,0,50,4311,medium,animal,12000,"4,0",28,attack,UNIQUE,28,24,26,16,16,18
demon,,female demon,"She was beautiful once, in the way a knife is beautiful, and the resemblance has not altogether faded.",13,2,15,220,medium,animal,14000,"4,0",18,attack,,17,14,16,10,10,12
demon,,Geryon,,75,0,80,10006,huge,animal,1400000,"4,5",29,attack,UNIQUE,17,24,26,22,21,25
demon,,hezrou,,28,2,31,1334,large,animal,30000,"2,5",21,attack,,24,17,20,5,12,13
demon,,horned devil,,29,2,32,1114,medium,animal,18000,"2,5",24,attack,,22,17,21,12,16,17
demon,,Huhetotl,,10,0,15,333,large,animal,14500,"3,5",18,attack,UNIQUE,16,16,16,14,16,15
demon,,ice devil,,11,2,14,296,large,animal,35000,"2,5",22,attack,,21,14,18,18,15,18
demon,,incubus,,13,2,15,220,medium,animal,18000,"4,0",17,attack,,8,17,13,15,12,20
demon,,Juiblex,,50,0,55,5135,large,animal,66600,"2,0",19,attack,UNIQUE,22,18,26,8,14,7
demon,,living wall,,10,1,12,82,gargantuan,animal,200000,"0,5",20,attack,,26,6,16,1,1,1
demon,,marilith,,28,1,35,1075,large,animal,60000,"4,0",23,attack,,22,20,20,18,16,20
demon,,Maugneshaagar,,10,0,15,333,large,animal,21000,"3,5",18,attack,UNIQUE,20,16,18,14,16,15
demon,,medusa,,32,1,34,1000,large,animal,24000,"3,7",28,attack,,14,13,14,16,12,16
demon,,nabassu,,20,1,25,723,large,animal,23000,"5,0",21,attack,,14,18,15,15,14,14
demon,,nalfeshnee,,31,1,35,1069,large,animal,30000,"2,5",25,attack,,21,10,22,19,12,15
demon,,Nalzok,,10,0,15,333,large,animal,14500,"3,5",18,attack,UNIQUE,18,18,18,14,16,15
demon,,Orcus,,50,0,55,5177,huge,animal,600000,"2,5",20,attack,UNIQUE,24,21,26,28,28,18
demon,,Pestilence,,45,0,50,4311,medium,animal,11000,"4,0",28,attack,UNIQUE,28,24,26,16,16,18
demon,,pit fiend,,33,2,36,1421,large,animal,30000,"2,5",23,attack,,26,14,24,22,18,24
demon,,sandestin,,21,1,23,702,medium,animal,15000,"4,0",18,attack,,13,15,15,14,11,13
demon,,spined devil,,26,2,29,1244,medium,animal,15000,"5,0",22,attack,,18,15,12,11,14,8
demon,,succubus,,13,2,15,220,medium,animal,13000,"4,0",17,attack,,8,17,13,15,12,20
demon,,tempter,"He offers you exactly what you wanted, and the price is not mentioned until afterwards.",14,2,16,235,medium,animal,18000,"4,0",18,attack,,8,17,13,15,12,20
demon,,vrock,,25,2,28,950,large,animal,14500,"4,0",25,attack,,23,15,18,8,13,8
demon,,water demon,,8,1,11,148,medium,animal,21000,"4,0",19,attack,,11,20,16,12,11,14
demon,,Yeenoghu,,50,0,55,5850,large,animal,22000,"5,0",23,attack,UNIQUE,16,14,26,22,21,26
devourer,,disenchanter,,12,2,14,253,large,animal,24000,"3,7",30,attack,,15,13,10,3,10,6
devourer,,disintegrator,,18,1,20,634,large,animal,25000,"5,0",18,attack,,11,15,10,3,10,6
devourer,,rust monster,,5,2,8,55,medium,animal,10000,"5,0",18,attack,,13,12,13,2,13,6
dog,,astral dog,"A hound of the Astral plane, half-seen even when it stands still; it does not breathe or bleed.",22,1,25,790,medium,animal,6000,"5,0",24,attack,,16,16,16,9,16,10
dog,,astral puppy,"A young astral dog, still learning to keep all four paws on the material plane at once.",11,1,13,215,small,animal,2600,"5,0",18,attack,,10,14,11,7,13,8
dog,,blink dog,A fey hound that flickers between here and elsewhere; it fights alongside anyone it trusts.,7,2,8,58,medium,animal,4500,"5,0",15,attack,,13,17,13,8,14,10
dog,,blink puppy,"A blink dog pup, already able to flicker away from danger before it lands a bite.",3,2,4,13,small,animal,1800,"5,0",16,attack,,6,12,6,6,12,9
dog,,Cerberus,,45,0,50,4453,large,animal,80000,"5,0",15,attack,UNIQUE,20,16,18,8,16,12
dog,,coyote,,1,1,2,2,small,animal,3000,"3,7",12,attack,,9,13,9,3,2,4
dog,,death dog,,23,1,25,556,small,animal,5000,"3,7",18,attack,,17,14,14,3,13,6
dog,,dingo,,6,1,7,40,medium,animal,4000,"5,0",13,attack,,13,15,13,4,2,7
dog,,dingo puppy,,2,1,3,8,small,animal,1500,"5,0",15,attack,,5,9,6,3,2,8
dog,,dog,,4,7,5,20,small,animal,4000,"5,0",13,attack,DOMESTIC,11,14,10,3,12,8
dog,,fox,,0,1,1,4,small,animal,3000,"5,0",11,attack,,10,15,11,3,12,6
dog,,hell hound,,20,1,22,604,medium,animal,14000,"3,7",18,attack,,16,16,17,6,14,8
dog,,hell hound pup,,12,1,14,240,small,animal,6000,"3,7",14,attack,,14,14,15,5,12,6
dog,,jackal,,0,4,1,1,small,animal,3000,"3,7",11,attack,,8,15,11,3,12,6
dog,,large dingo,,9,1,10,85,medium,animal,14000,"5,0",16,attack,,13,17,14,6,14,7
dog,,large dog,,6,7,7,40,medium,animal,15000,"5,0",14,attack,DOMESTIC,16,14,12,3,12,7
dog,,little dog,,2,7,3,8,small,animal,1500,"5,0",14,attack,DOMESTIC,8,11,9,3,9,5
dog,,mist wolf,,30,1,32,1320,medium,animal,8500,"5,0",28,attack,,13,15,14,3,12,7
dog,,pit bull,,11,1,12,175,medium,animal,8000,"5,0",13,attack,DOMESTIC,17,16,17,4,13,9
dog,,plague jackal,"A jackal wasted by sickness, its ribs showing through a mangy hide; its bite festers.",3,2,7,20,small,animal,2500,"3,7",10,attack,,7,12,9,3,10,3
dog,,rabid wolf,,17,2,17,405,small,animal,6000,"3,7",15,attack,,15,17,8,2,5,4
dog,,shadow wolf,,25,1,27,965,medium,animal,5500,"5,0",21,attack,,12,15,13,3,12,6
dog,,storm coyote,"A coyote with a static-charged coat, drawn down from the high plains after a lightning storm.",4,2,6,17,small,animal,3000,"5,0",13,attack,,10,15,10,3,2,4
dog,,warg,,9,3,10,78,large,animal,30000,"3,7",16,attack,,16,13,13,7,11,8
dog,,winter wolf,,17,1,19,426,large,animal,10000,"3,7",21,attack,,12,15,12,3,12,6
dog,,winter wolf cub,,10,2,12,185,small,animal,2500,"3,7",14,attack,,10,12,10,3,10,6
dog,,wolf,,7,3,8,54,medium,animal,10000,"3,7",14,attack,,12,15,12,3,12,6
dog,,wolverine,,13,1,15,211,medium,animal,8500,"5,0",15,attack,,13,12,16,4,9,7
dracon,dracon,dracon,"Imposing and heavily built, they resemble humanoid dragons with a snout, scaly hide and functional wings.",0,0,0,0,medium,animal,20000,"4,5",13,attack,BASE,10,10,10,10,10,10
dragon,,adult astral dragon,"It drifts in and out of the here and now, and its breath arrives from somewhere that is not quite the room.",20,3,23,598,huge,animal,200000,"5,0",24,attack,,25,10,23,16,15,19
dragon,,adult black dragon,,20,3,25,894,huge,animal,200000,"5,0",23,attack,,23,14,21,14,13,17
dragon,,adult blue dragon,,20,3,23,598,huge,animal,200000,"5,0",24,attack,,25,10,23,16,15,19
dragon,,adult deep dragon,,22,3,27,944,huge,animal,200000,"5,0",26,attack,,22,11,21,16,15,20
dragon,,adult fae dragon,It keeps the courtesies of the fey courts exactly as far as they amuse it.,20,3,23,598,huge,animal,200000,"5,0",24,attack,,25,10,23,16,15,19
dragon,,adult gold dragon,,23,3,27,936,huge,animal,200000,"5,0",25,attack,GUARDIAN,25,10,25,16,13,21
dragon,,adult green dragon,,20,3,27,785,huge,animal,200000,"5,0",23,attack,,24,12,21,18,13,19
dragon,,adult grey dragon,"Nothing cast at a grey dragon has ever much troubled it, and it knows this better than you do.",20,3,23,598,huge,animal,200000,"5,0",24,attack,,25,10,23,16,15,19
dragon,,adult mystical dragon,"Steeped in high magic, and quite capable of being something else by the time you swing.",20,3,23,598,huge,animal,200000,"5,0",24,attack,,25,10,23,16,15,19
dragon,,adult orange dragon,,18,3,21,557,huge,animal,200000,"5,0",24,attack,,23,11,21,14,13,20
dragon,,adult red dragon,,20,3,23,598,huge,animal,200000,"5,0",24,attack,,27,10,25,16,13,21
dragon,,adult shimmering dragon,,25,3,29,1109,huge,animal,200000,"5,0",26,attack,,21,15,22,14,13,17
dragon,,adult silver dragon,,25,3,30,1264,huge,animal,200000,"5,0",25,attack,GUARDIAN,27,10,25,16,13,21
dragon,,adult white dragon,,20,3,23,598,huge,animal,200000,"5,0",24,attack,,22,10,22,8,12,12
dragon,,adult yellow dragon,,20,3,25,910,huge,animal,200000,"5,0",24,attack,,21,10,22,17,15,17
dragon,,ancient astral dragon,It has spent so long between the planes that it is only visiting this one. Distance means nothing to it.,30,3,33,1598,gargantuan,animal,300000,"5,0",28,attack,,27,12,25,18,17,21
dragon,,ancient black dragon,,30,3,35,1894,gargantuan,animal,300000,"5,0",27,attack,,25,16,23,16,15,19
dragon,,ancient blue dragon,,30,3,33,1598,gargantuan,animal,300000,"5,0",28,attack,,27,12,25,18,17,21
dragon,,ancient deep dragon,,34,3,37,1944,gargantuan,animal,300000,"5,0",30,attack,,24,13,23,18,17,22
dragon,,ancient fae dragon,It has been playing the same joke for eight hundred years and has not yet reached the end of it.,30,3,33,1598,gargantuan,animal,300000,"5,0",28,attack,,27,12,25,18,17,21
dragon,,ancient gold dragon,,38,3,40,1936,gargantuan,animal,300000,"5,0",29,attack,GUARDIAN,27,12,27,18,15,23
dragon,,ancient green dragon,,30,3,36,1785,gargantuan,animal,300000,"5,0",27,attack,,26,14,23,20,15,21
dragon,,ancient grey dragon,"Old enough that magic simply stops happening near it. Whatever it was once, it is now a hole in the weave.",30,3,33,1598,gargantuan,animal,300000,"5,0",28,attack,,27,12,25,18,17,21
dragon,,ancient mystical dragon,"Centuries of study, and a library underneath it that no scholar will ever be allowed to see.",30,3,33,1598,gargantuan,animal,300000,"5,0",28,attack,,27,12,25,18,17,21
dragon,,ancient orange dragon,,28,3,31,1557,gargantuan,animal,300000,"5,0",28,attack,,25,13,23,16,15,22
dragon,,ancient red dragon,,30,3,33,1598,gargantuan,animal,300000,"5,0",28,attack,,29,12,27,18,15,23
dragon,,ancient shimmering dragon,,35,3,37,2109,gargantuan,animal,300000,"5,0",30,attack,,23,17,24,16,15,19
dragon,,ancient silver dragon,,37,3,39,2264,gargantuan,animal,300000,"5,0",29,attack,GUARDIAN,29,12,27,18,15,23
dragon,,ancient white dragon,,30,3,33,1598,gargantuan,animal,300000,"5,0",28,attack,,24,12,24,10,14,14
dragon,,ancient yellow dragon,,30,3,35,1910,gargantuan,animal,300000,"5,0",28,attack,,23,12,24,19,17,19
dragon,,baby astral dragon,"A hatchling that keeps half-vanishing while you look at it, and has not yet worked out how to stop.",4,2,5,22,medium,animal,50000,"5,0",18,attack,,17,10,15,12,11,15
dragon,,baby black dragon,,4,2,6,24,medium,animal,50000,"5,0",18,attack,,15,14,13,10,11,13
dragon,,baby blue dragon,,4,2,5,22,medium,animal,50000,"5,0",18,attack,,17,10,15,12,11,15
dragon,,baby deep dragon,,4,2,5,22,medium,animal,50000,"5,0",18,attack,,15,10,15,13,11,15
dragon,,baby fae dragon,"A hatchling out of the fey courts: bright-eyed, quick, and already lying to you.",4,2,5,22,medium,animal,50000,"5,0",18,attack,,17,10,15,12,11,15
dragon,,baby gold dragon,,4,2,6,24,medium,animal,50000,"5,0",18,attack,GUARDIAN,18,10,17,12,11,15
dragon,,baby green dragon,,4,2,6,24,medium,animal,50000,"5,0",18,attack,,15,12,13,14,11,13
dragon,,baby grey dragon,"A grey hatchling, already contemptuous of magic and of you.",4,2,5,22,medium,animal,50000,"5,0",18,attack,,17,10,15,12,11,15
dragon,,baby mystical dragon,A hatchling that has already learned one word it should not know.,4,2,5,22,medium,animal,50000,"5,0",18,attack,,17,10,15,12,11,15
dragon,,baby orange dragon,,4,2,5,22,medium,animal,50000,"5,0",18,attack,,15,10,15,12,11,15
dragon,,baby red dragon,,4,2,5,22,medium,animal,50000,"5,0",18,attack,,19,10,17,12,11,15
dragon,,baby shimmering dragon,,4,2,6,24,medium,animal,50000,"5,0",18,attack,,15,13,14,12,11,15
dragon,,baby silver dragon,,4,2,6,24,medium,animal,50000,"5,0",18,attack,GUARDIAN,19,10,17,12,11,15
dragon,,baby white dragon,,4,2,5,22,medium,animal,50000,"5,0",18,attack,,14,10,14,5,10,11
dragon,,baby yellow dragon,,4,2,5,22,medium,animal,50000,"5,0",18,attack,,15,10,14,14,12,15
dragon,,chromatic dragon,,32,1,33,1446,gargantuan,animal,450000,"5,0",27,attack,,27,10,30,26,26,28
dragon,,dragon king,,39,1,38,1713,gargantuan,animal,300000,"5,0",30,attack,,30,14,26,18,16,28
dragon,,hydra,,34,1,36,1350,gargantuan,animal,1200000,"5,0",27,attack,,28,12,24,2,10,7
dragon,,Ixoth,,35,0,40,3500,gargantuan,animal,1400000,"4,5",30,attack,UNIQUE,26,12,24,10,11,11
dragon,,wyvern,,16,1,20,530,gargantuan,animal,70000,"5,0",21,attack,,19,10,16,5,12,16
dragon,,young astral dragon,Scales like the silver void between the planes. It steps out of the world when it is losing.,12,2,15,298,large,animal,100000,"5,0",20,attack,,19,12,17,14,13,17
dragon,,young black dragon,,12,2,15,294,large,animal,100000,"5,0",20,attack,,17,16,15,12,13,15
dragon,,young blue dragon,,12,2,15,298,large,animal,100000,"5,0",20,attack,,19,12,17,14,13,17
dragon,,young deep dragon,,14,2,17,344,large,animal,100000,"5,0",22,attack,,17,12,17,15,13,17
dragon,,young fae dragon,"More prankster than predator, which is not the same as harmless.",12,2,15,298,large,animal,100000,"5,0",20,attack,,19,12,17,14,13,17
dragon,,young gold dragon,,15,2,17,336,large,animal,100000,"5,0",21,attack,GUARDIAN,20,12,19,14,13,17
dragon,,young green dragon,,12,2,17,285,large,animal,100000,"5,0",21,attack,,17,14,15,16,13,15
dragon,,young grey dragon,Its scales drink spells the way sand drinks water. Wizards have learned to leave grey dragons alone.,12,2,15,298,large,animal,100000,"5,0",20,attack,,19,12,17,14,13,17
dragon,,young mystical dragon,"It hoards grimoires the way other dragons hoard gold, and it has read them.",12,2,15,298,large,animal,100000,"5,0",20,attack,,19,12,17,14,13,17
dragon,,young orange dragon,,10,2,11,187,large,animal,100000,"5,0",20,attack,,17,12,17,14,13,17
dragon,,young red dragon,,12,2,13,298,large,animal,100000,"5,0",20,attack,,21,12,19,14,13,17
dragon,,young shimmering dragon,,17,2,19,409,large,animal,100000,"5,0",23,attack,,17,15,16,14,13,17
dragon,,young silver dragon,,17,2,20,564,large,animal,100000,"5,0",21,attack,GUARDIAN,21,12,19,14,13,17
dragon,,young white dragon,,12,2,13,198,large,animal,100000,"5,0",20,attack,,16,12,16,7,12,13
dragon,,young yellow dragon,,12,2,15,310,large,animal,100000,"5,0",20,attack,,17,12,16,16,14,17
dwarf,dwarf,duergar,,11,1,13,224,medium,animal,16000,"4,2",12,attack,,12,12,11,12,11,11
dwarf,dwarf,dwarf,"Stout, short and hardy folk. They are known for their stubbornness, metalworking and love of alcohol.",0,0,0,0,medium,animal,15000,"4,2",10,attack,BASE,10,10,10,10,10,10
dwarf,dwarf,dwarf king,,20,1,21,668,medium,animal,16000,"4,0",13,attack,,18,16,14,12,12,16
dwarf,dwarf,dwarf lord,,14,3,16,257,medium,animal,15500,"4,0",11,attack,,16,12,11,12,11,13
dwarf,dwarf,dwarf thief,,8,1,10,78,medium,animal,13000,"4,2",10,attack,,14,16,8,11,8,10
dwarf,dwarf,dwarf warrior,,11,1,13,204,medium,animal,15000,"4,2",12,attack,,16,11,12,8,10,9
dwarf,dwarf,frost dwarf,A dwarf of a mountain clan so far north the forge-fires burn blue; one of its twin mattocks bites like the wind off the peak.,13,1,15,258,medium,animal,15500,"4,2",12,attack,,17,11,13,8,10,9
dwarf,dwarf,Thorin,,20,0,22,963,medium,animal,17000,"4,2",18,attack,GUARDIAN|UNIQUE,16,14,15,13,11,14
