Stock,Type,Name,Appearance,Description,Armour,Weapon,Light,Storage,Material,Nutrition,Essence,Weight,Price,Rarity,Grade,Bundled,Utility
armour,boots,disencumbrance boots,fur boots,,medium armour:1,,,,leather,100,100,200,50,15,standard,FALSE,
armour,boots,elven boots,mud boots,,light armour:1,,,,leather,75,50,150,8,12,standard,FALSE,
armour,boots,fancy boots,dress boots,"A pair of well-tailored leather boots, dyed and stitched more for looking good than for taking a beating.",light armour:1,,,,leather,80,5,160,25,12,standard,FALSE,
armour,boots,fumble boots,riding boots,,light armour:1,,,,leather,100,50,200,30,12,standard,FALSE,
armour,boots,high boots,jackboots,A pair of sturdy leather boots which extend upward until just below the knee.,medium armour:2,,,,leather,100,5,200,12,15,standard,FALSE,
armour,boots,iron shoes,hard shoes,,heavy armour:2,,,,iron,250,10,500,16,7,standard,FALSE,
armour,boots,jumping boots,hiking boots,,medium armour:1,,,,leather,100,50,200,50,12,standard,FALSE,
armour,boots,levitation boots,snow boots,,light armour:1,,,,leather,75,50,150,30,12,standard,FALSE,
armour,boots,low boots,walking shoes,A pair of sturdy leather boots which extend upwards to just above the ankle.,light armour:1,,,,leather,50,5,100,8,25,standard,FALSE,
armour,boots,panic boots,mithril boots,,medium armour:1,,,,mithril,200,10,250,30,6,standard,FALSE,
armour,boots,speed boots,combat boots,,medium armour:1,,,,leather,100,150,200,50,12,standard,FALSE,
armour,boots,steel boots,,A pair of solid iron-plated boots that guard the shin and instep at the cost of a good deal of weight.,heavy armour:2,,,,iron,275,10,550,18,8,standard,FALSE,
armour,boots,Talaria,,Winged sandals made of imperishable gold which fly the wearer swiftly and silently.,light armour:1,,,,gold,0,0,200,900,1,artifact,FALSE,
armour,boots,winged boots,jungle boots,,medium armour:1,,,,leather,100,100,200,60,4,standard,FALSE,
armour,cloak,alchemy smock,leather apron,,light armour:1,,,,leather,50,50,100,60,10,standard,FALSE,
armour,cloak,cloak of blinking,dirty rag,,light armour:1,,,,cloth,50,150,100,180,10,standard,FALSE,
armour,cloak,cloak of deflection,tattered cape,,light armour:1,,,,cloth,50,150,100,150,9,standard,FALSE,
armour,cloak,cloak of displacement,piece of cloth,,light armour:1,,,,cloth,50,150,100,140,10,standard,FALSE,
armour,cloak,cloak of invisibility,opera cloak,,light armour:1,,,,cloth,50,150,100,170,10,standard,FALSE,
armour,cloak,cloak of magic resistance,ornamental cope,,light armour:1,,,,cloth,50,150,100,160,2,standard,FALSE,
armour,cloak,crimson cloak,,"A cloak of heavy cloth dyed a deep, uniform crimson, the mark of a self-styled captain or a travelling noble.",light armour:1,,,,cloth,50,5,100,45,10,standard,FALSE,
armour,cloak,dwarvish cloak,hooded cloak,,light armour:1,,,,cloth,50,5,100,50,8,standard,FALSE,
armour,cloak,elven cloak,faded pall,,light armour:1,,,,cloth,50,50,100,60,8,standard,FALSE,
armour,cloak,Escapist,,,light armour:1,,,,cloth,0,0,100,700,1,artifact,FALSE,
armour,cloak,lab coat,white coat,,light armour:1,,,,cloth,50,50,100,60,10,standard,FALSE,
armour,cloak,leather cloak,,An article of leather clothing covering the torso that hangs around the neck and on the shoulders.,light armour:1,,,,leather,75,5,150,40,8,standard,FALSE,
armour,cloak,mummy wrapping,,,light armour:0,,,,cloth,15,5,30,2,0,standard,FALSE,
armour,cloak,oilskin cloak,slippery cloak,An article of waterproof cotton clothing covering the torso that hangs around the neck and on the shoulders.,light armour:1,,,,cloth,50,50,100,50,8,standard,FALSE,
armour,cloak,orcish cloak,coarse mantelet,,light armour:1,,,,cloth,50,5,100,40,8,standard,FALSE,
armour,gloves,Aurigage,,,heavy armour:2,,,,gold,0,0,1000,1500,1,artifact,FALSE,
armour,gloves,gauntlets of dexterity,fencing gloves,,light armour:1,,,,leather,50,100,100,50,8,standard,FALSE,
armour,gloves,gauntlets of fumbling,padded gloves,,light armour:1,,,,leather,50,50,100,50,8,standard,FALSE,
armour,gloves,gauntlets of phasing,black gloves,,light armour:1,,,,leather,50,100,100,50,6,standard,FALSE,
armour,gloves,gauntlets of power,riding gloves,,heavy armour:1,,,,iron,150,100,300,50,8,standard,FALSE,
armour,gloves,leather gloves,old gloves,"Sturdy leather garments fitted firm onto the hands, sheathing each finger individually.",light armour:1,,,,leather,50,5,100,8,16,standard,FALSE,
armour,helmet,adamantine helm,,"A closed great helm forged from a single adamantine shell, hiding the wearer's face entirely.",heavy armour:3,,,,adamantine,0,15,700,300,1,exotic,FALSE,
armour,helmet,adamantine helmet,,,heavy armour:2,,,,adamantine,0,15,500,200,1,exotic,FALSE,
armour,helmet,Blinderäg,,,heavy armour:2,,,,iron,0,0,800,1250,1,artifact,FALSE,
armour,helmet,cornuthaum,conical hat,,light armour:0,,,,cloth,20,150,40,400,3,standard,FALSE,
armour,helmet,dented pot,,,medium armour:1,,,,iron,50,5,100,8,2,standard,FALSE,
armour,helmet,dunce cap,conical hat,,light armour:0,,,,cloth,20,50,40,80,3,standard,FALSE,
armour,helmet,dwarvish iron helm,hard hat,,heavy armour:2,,,,iron,200,10,400,20,6,standard,FALSE,
armour,helmet,elven leather helm,leather hat,,light armour:1,,,,leather,15,5,30,8,6,standard,FALSE,
armour,helmet,fedora,,"A soft-brimmed hat, somewhat out of fashion.",light armour:0,,,,cloth,15,100,30,1,1,standard,FALSE,
armour,helmet,helm of brilliance,etched helmet,,heavy armour:1,,,,iron,250,100,500,50,6,standard,FALSE,
armour,helmet,helm of telepathy,visored helmet,,heavy armour:1,,,,iron,250,50,500,50,2,standard,FALSE,
armour,helmet,helm of weakness,crested helmet,,heavy armour:1,,,,iron,250,50,500,50,2,standard,FALSE,
armour,helmet,helmet,plumed helmet,Standard issue protective metal headgear.,heavy armour:1,,,,iron,250,5,500,10,10,standard,FALSE,
armour,helmet,mithril helmet,,,medium armour:2,,,,mithril,150,20,300,100,2,standard,FALSE,
armour,helmet,orcish helm,iron skull cap,,medium armour:1,,,,iron,150,5,300,10,6,standard,FALSE,
armour,shield,dwarvish roundshield,large round shield,,heavy armour:2,,,,iron,500,10,1000,10,4,standard,FALSE,
armour,shield,elven shield,blue and green shield,,medium armour:2,,,,wood,250,10,500,7,2,standard,FALSE,
armour,shield,large shield,,,heavy armour:2,,,,iron,500,10,1000,10,7,standard,FALSE,
armour,shield,Mirrorbright,,,heavy armour:2,,,,silver,0,0,500,1500,1,artifact,FALSE,
armour,shield,mithril shield,,,medium armour:2,,,,mithril,500,20,500,50,2,standard,FALSE,
armour,shield,orcish shield,red-eyed shield,,medium armour:1,,,,iron,250,5,500,7,2,standard,FALSE,
armour,shield,shield of reflection,polished silver shield,,heavy armour:2,,,,silver,250,150,500,50,3,standard,FALSE,
armour,shield,small shield,,"A lightweight protective panel strapped to the forearm, made from wood with metal reinforcement.",light armour:1,,,,wood,150,5,300,3,6,standard,FALSE,
armour,shirt,cloth shirt,,"A plain, undyed shirt of woven cloth, worn under armour or on its own.",light armour:0,,,,cloth,25,5,50,2,6,standard,FALSE,
armour,shirt,doublet,,"A snugly fitted, padded jacket buttoned up the front, the sort of thing a merchant or a minor noble might wear.",light armour:0,,,,cloth,35,5,70,10,10,standard,FALSE,
armour,shirt,hawaiian shirt,,"Bold, or just tacky?",light armour:0,,,,cloth,25,5,50,3,8,standard,FALSE,
armour,shirt,t-shirt,,,light armour:0,,,,cloth,25,5,50,2,2,standard,FALSE,
armour,shirt,tabard,,"A sleeveless cloth garment worn over armour, its blank front begging for a coat of arms.",light armour:0,,,,cloth,30,5,60,4,8,standard,FALSE,
armour,suit,adamantine plate mail,,,heavy armour:8,,,,adamantine,0,15,4500,1200,1,exotic,FALSE,
armour,suit,banded mail,,,heavy armour:6,,,,iron,700,10,3500,90,45,standard,FALSE,
armour,suit,battle robe,red robe,"A long, flowing garment, with long sleeves and a hood.",light armour:1,,,,cloth,200,50,400,250,2,standard,FALSE,
armour,suit,black dragon scale mail,,,light armour:6,,,,hide,800,100,600,1200,0,standard,FALSE,
armour,suit,black dragon scales,,,light armour:3,,,,hide,800,50,400,700,0,standard,FALSE,
armour,suit,blue dragon scale mail,,,light armour:6,,,,hide,800,100,600,900,0,standard,FALSE,
armour,suit,blue dragon scales,,,light armour:3,,,,hide,800,50,400,500,0,standard,FALSE,
armour,suit,bronze plate mail,,,heavy armour:6,,,,copper,900,10,4500,400,25,standard,FALSE,
armour,suit,Carapace,,,heavy armour:10,,,,animal,0,0,6000,1800,1,artifact,FALSE,
armour,suit,chain mail,,Chain mail consists of a mesh of metal rings interlinked to form a flexible armour.,medium armour:5,,,,iron,600,10,3000,75,40,standard,FALSE,
armour,suit,crystal plate mail,,,heavy armour:8,,,,crystal,1000,20,5000,820,10,standard,FALSE,
armour,suit,deep dragon scale mail,,,light armour:6,,,,hide,800,100,600,1200,0,standard,FALSE,
armour,suit,deep dragon scales,,,light armour:3,,,,hide,800,50,400,500,0,standard,FALSE,
armour,suit,drow mithril-coat,glossy mithril-coat,,light armour:5,,,,mithril,300,20,1500,240,2,standard,FALSE,
armour,suit,dwarvish mithril-coat,stout mithril-coat,,medium armour:6,,,,mithril,500,20,2500,240,3,standard,FALSE,
armour,suit,elemental robe,green robe,"A long, flowing garment, with long sleeves and a hood.",light armour:1,,,,cloth,200,50,400,250,2,standard,FALSE,
armour,suit,elven mithril-coat,fine mithril-coat,,light armour:5,,,,mithril,300,20,1500,240,4,standard,FALSE,
armour,suit,fleet robe,blue robe,"A long, flowing garment, with long sleeves and a hood.",light armour:1,,,,cloth,200,50,400,250,2,standard,FALSE,
armour,suit,gold dragon scale mail,,,light armour:6,,,,hide,800,100,600,1200,0,standard,FALSE,
armour,suit,gold dragon scales,,,light armour:3,,,,hide,800,50,400,700,0,standard,FALSE,
armour,suit,gold plate mail,,"A suit of plate armour beaten from solid gold, prized by kings who never expect to take a blow.",heavy armour:4,,,,gold,900,10,4500,480,2,standard,FALSE,
armour,suit,green dragon scale mail,,,light armour:6,,,,hide,800,100,600,900,0,standard,FALSE,
armour,suit,green dragon scales,,,light armour:3,,,,hide,800,50,400,500,0,standard,FALSE,
armour,suit,hermit robe,orange robe,"A long, flowing garment, with long sleeves and a hood.",light armour:1,,,,cloth,200,50,400,50,2,standard,FALSE,
armour,suit,leather armour,,"Boiled leather, moulded into a bodily shape to be donned as light armour.",light armour:2,,,,leather,300,10,1500,5,45,standard,FALSE,
armour,suit,leather jacket,,"A thick leather coat, constructed to withstand weather and wear.",light armour:1,,,,leather,150,5,300,10,11,standard,FALSE,
armour,suit,mithril plate mail,,,medium armour:7,,,,mithril,700,20,3500,920,2,standard,FALSE,
armour,suit,orange dragon scale mail,,,light armour:6,,,,hide,800,100,600,900,0,standard,FALSE,
armour,suit,orange dragon scales,,,light armour:3,,,,hide,800,50,400,500,0,standard,FALSE,
armour,suit,orcish chain mail,crude chain mail,,medium armour:4,,,,iron,600,10,3000,75,20,standard,FALSE,
armour,suit,orcish ring mail,crude ring mail,,medium armour:2,,,,iron,500,10,2500,50,20,standard,FALSE,
armour,suit,plate mail,,,heavy armour:7,,,,iron,900,10,4500,600,30,standard,FALSE,
armour,suit,red dragon scale mail,,,light armour:6,,,,hide,800,100,600,900,0,standard,FALSE,
armour,suit,red dragon scales,,,light armour:3,,,,hide,800,50,400,500,0,standard,FALSE,
armour,suit,ring mail,,A suit of armour made from metal rings sewn onto a foundation of leather or cloth.,medium armour:3,,,,iron,300,10,2500,60,40,standard,FALSE,
armour,suit,robe,plain robe,"A long, flowing garment, with long sleeves and a hood.",light armour:1,,,,cloth,200,5,400,25,2,standard,FALSE,
armour,suit,scale mail,,,medium armour:4,,,,iron,400,10,2500,65,40,standard,FALSE,
armour,suit,shimmering dragon scale mail,,,light armour:6,,,,hide,800,100,600,1200,0,standard,FALSE,
armour,suit,shimmering dragon scales,,,light armour:3,,,,hide,800,50,400,700,0,standard,FALSE,
armour,suit,silver dragon scale mail,,,light armour:6,,,,hide,800,100,600,1200,0,standard,FALSE,
armour,suit,silver dragon scales,,,light armour:3,,,,hide,800,50,400,700,0,standard,FALSE,
armour,suit,splint mail,,A heavy suit of armour made up of many strips of metal.,heavy armour:6,,,,iron,800,10,4000,80,35,standard,FALSE,
armour,suit,studded leather armour,,Leather armour with close-set studs so as to offer more protection.,light armour:3,,,,leather,200,10,2000,15,40,standard,FALSE,
armour,suit,white dragon scale mail,,,light armour:6,,,,hide,800,100,600,900,0,standard,FALSE,
armour,suit,white dragon scales,,,light armour:3,,,,hide,800,50,400,500,0,standard,FALSE,
armour,suit,yellow dragon scale mail,,,light armour:6,,,,hide,800,100,600,900,0,standard,FALSE,
armour,suit,yellow dragon scales,,,light armour:3,,,,hide,800,50,400,500,0,standard,FALSE,
book,book,book of acid splash,pocked book,,,,,,paper,0,32,500,100,6,standard,FALSE,study:LearnSpell:|/evocation:0
book,book,book of acid stream,colourful book,,,,,,paper,0,80,500,400,15,standard,FALSE,study:LearnSpell:|/evocation:9
book,book,book of animate dead,thick book,,,,,,paper,0,48,500,200,15,standard,FALSE,study:LearnSpell:|/necromancy:3
book,book,book of animate object,spotted book,,,,,,paper,0,96,500,500,15,standard,FALSE,study:LearnSpell:|/enchantment:12
book,book,book of arc conduit,welded book,,,,,,paper,0,80,500,400,9,standard,FALSE,study:LearnSpell:|/evocation:9
book,book,book of arcane blight,chalkstone book,,,,,,paper,0,64,500,300,14,standard,FALSE,study:LearnSpell:|/transmutation:6
book,book,book of arcane whetstone,alabaster book,,,,,,paper,0,64,500,300,14,standard,FALSE,study:LearnSpell:|/transmutation:6
book,book,book of arcing bolt,voltaic book,,,,,,paper,0,64,500,300,9,standard,FALSE,study:LearnSpell:|/evocation:6
book,book,book of artificer's exchange,mica book,,,,,,paper,0,80,500,400,16,standard,FALSE,study:LearnSpell:|/transmutation:9
book,book,book of atonement,ivory book,,,,,,paper,0,48,500,200,9,standard,FALSE,study:LearnSpell:|/clerical:3
book,book,book of augury,sepia book,,,,,,paper,0,32,500,100,8,standard,FALSE,study:LearnSpell:|/divination:0
book,book,book of bane,brittle book,,,,,,paper,0,48,500,200,8,standard,FALSE,study:LearnSpell:|/clerical:3
book,book,book of banshee wail,keening book,,,,,,paper,0,64,500,300,14,standard,FALSE,study:LearnSpell:|/necromancy:6
book,book,book of barring ward,marlstone book,,,,,,paper,0,48,500,200,9,standard,FALSE,study:LearnSpell:|/transmutation:3
book,book,book of battle fury,beaded book,,,,,,paper,0,64,500,300,16,standard,FALSE,study:LearnSpell:|/enchantment:6
book,book,book of bind undead,black book,,,,,,paper,0,96,500,500,15,standard,FALSE,study:LearnSpell:|/necromancy:12
book,book,book of binding sphere,crystalline book,,,,,,paper,0,96,500,500,12,standard,FALSE,study:LearnSpell:|/conjuration:12
book,book,book of black ice patch,hoarfrost book,,,,,,paper,0,64,500,300,9,standard,FALSE,study:LearnSpell:|/evocation:6
book,book,book of black plague,plague ridden book,,,,,,paper,0,112,500,600,9,standard,FALSE,study:LearnSpell:|/necromancy:15
book,book,book of blade blessing,gilded book,,,,,,paper,0,64,500,300,14,standard,FALSE,study:LearnSpell:|/clerical:6
book,book,book of blank paper,plain book,,,,,,paper,400,4,500,50,20,standard,FALSE,
book,book,book of bless,bone white book,,,,,,paper,0,32,500,100,6,standard,FALSE,study:LearnSpell:|/clerical:0
book,book,book of blinking,fuzzy book,,,,,,paper,0,32,500,100,15,standard,FALSE,study:LearnSpell:|/abjuration:0
book,book,book of blurred form,quicksilver book,,,,,,paper,0,64,500,300,12,standard,FALSE,study:LearnSpell:|/abjuration:6
book,book,book of call of the pack,hide bound book,,,,,,paper,0,64,500,300,20,standard,FALSE,study:LearnSpell:|/conjuration:6
book,book,book of calm,banded book,,,,,,paper,0,32,500,100,10,standard,FALSE,study:LearnSpell:|/enchantment:0
book,book,book of caltrop swarm,rusted book,,,,,,paper,0,32,500,100,26,standard,FALSE,study:LearnSpell:|/conjuration:0
book,book,book of cancellation,shining book,,,,,,paper,0,128,500,700,15,standard,FALSE,study:LearnSpell:|/transmutation:18
book,book,book of causeway,quartzite book,,,,,,paper,0,48,500,200,10,standard,FALSE,study:LearnSpell:|/transmutation:3
book,book,book of chain lightning,arcing book,,,,,,paper,0,112,500,600,9,standard,FALSE,study:LearnSpell:|/evocation:15
book,book,book of changeless ward,crumbling book,,,,,,paper,0,80,500,400,16,standard,FALSE,study:LearnSpell:|/abjuration:9
book,book,book of charm,magenta book,,,,,,paper,0,64,500,300,20,standard,FALSE,study:LearnSpell:|/enchantment:6
book,book,book of chill grasp,frostbitten book,,,,,,paper,0,32,500,100,6,standard,FALSE,study:LearnSpell:|/necromancy:0
book,book,book of chromatic orb,prismatic book,,,,,,paper,0,64,500,300,13,standard,FALSE,study:LearnSpell:|/evocation:6
book,book,book of clairvoyance,dark blue book,,,,,,paper,0,64,500,300,15,standard,FALSE,study:LearnSpell:|/divination:6
book,book,book of claybind touch,millstone book,,,,,,paper,0,64,500,300,12,standard,FALSE,study:LearnSpell:|/transmutation:6
book,book,book of clear sight,crystal book,,,,,,paper,0,32,500,100,6,standard,FALSE,study:LearnSpell:|/divination:0
book,book,book of clouded mind,silk book,,,,,,paper,0,80,500,400,16,standard,FALSE,study:LearnSpell:|/enchantment:9
book,book,book of command,brass clasped book,,,,,,paper,0,48,500,200,9,standard,FALSE,study:LearnSpell:|/clerical:3
book,book,book of commune,bronzed book,,,,,,paper,0,48,500,200,10,standard,FALSE,study:LearnSpell:|/clerical:3
book,book,book of concussive blast,thunderous book,,,,,,paper,0,48,500,200,9,standard,FALSE,study:LearnSpell:|/evocation:3
book,book,book of cone of cold,dog eared book,,,,,,paper,0,96,500,500,15,standard,FALSE,study:LearnSpell:|/evocation:12
book,book,book of confusion,orange book,,,,,,paper,0,48,500,200,25,standard,FALSE,study:LearnSpell:|/enchantment:3
book,book,book of conjure barricade,dolomite book,,,,,,paper,0,64,500,300,13,standard,FALSE,study:LearnSpell:|/transmutation:6
book,book,book of conjure boulder,charred book,,,,,,paper,0,64,500,300,20,standard,FALSE,study:LearnSpell:|/conjuration:6
book,book,book of conjure guardian,basalt book,,,,,,paper,0,80,500,400,16,standard,FALSE,study:LearnSpell:|/conjuration:9
book,book,book of conjure homunculus,clay bound book,,,,,,paper,0,48,500,200,24,standard,FALSE,study:LearnSpell:|/conjuration:3
book,book,book of conjure mount,saddle book,,,,,,paper,0,64,500,300,20,standard,FALSE,study:LearnSpell:|/conjuration:6
book,book,book of conjured pit,loam book,,,,,,paper,0,48,500,200,24,standard,FALSE,study:LearnSpell:|/conjuration:3
book,book,book of consecration,consecrated book,,,,,,paper,0,64,500,300,13,standard,FALSE,study:LearnSpell:|/clerical:6
book,book,book of contagion,bilious book,,,,,,paper,0,64,500,300,13,standard,FALSE,study:LearnSpell:|/necromancy:6
book,book,book of corpse explosion,charnel book,,,,,,paper,0,80,500,400,16,standard,FALSE,study:LearnSpell:|/necromancy:9
book,book,book of corroding ray,pitted book,,,,,,paper,0,80,500,400,10,standard,FALSE,study:LearnSpell:|/evocation:9
book,book,book of create familiar,glittering book,,,,,,paper,0,112,500,600,10,standard,FALSE,study:LearnSpell:|/conjuration:15
book,book,book of creeping palsy,wormwood book,,,,,,paper,0,80,500,400,16,standard,FALSE,study:LearnSpell:|/enchantment:9
book,book,book of crimson ichor lance,acrid book,,,,,,paper,0,80,500,400,10,standard,FALSE,study:LearnSpell:|/evocation:9
book,book,book of crushing sphere,humongous book,,,,,,paper,0,48,500,200,20,standard,FALSE,study:LearnSpell:|/conjuration:3
book,book,book of curing,indigo book,,,,,,paper,0,48,500,200,20,standard,FALSE,study:LearnSpell:|/clerical:3
book,book,book of danger sense,brass bound book,,,,,,paper,0,48,500,200,9,standard,FALSE,study:LearnSpell:|/divination:3
book,book,book of darkness,faded book,,,,,,paper,0,32,500,100,30,standard,FALSE,study:LearnSpell:|/necromancy:0
book,book,book of daze,murmuring book,,,,,,paper,0,32,500,100,9,standard,FALSE,study:LearnSpell:|/enchantment:0
book,book,book of death ward,bone bound book,,,,,,paper,0,112,500,600,9,standard,FALSE,study:LearnSpell:|/abjuration:15
book,book,book of death's bargain,grave bound book,,,,,,paper,0,112,500,600,9,standard,FALSE,study:LearnSpell:|/necromancy:15
book,book,book of deathwatch,sepulchral book,,,,,,paper,0,32,500,100,8,standard,FALSE,study:LearnSpell:|/necromancy:0
book,book,book of deflection,wide book,,,,,,paper,0,32,500,100,15,standard,FALSE,study:LearnSpell:|/abjuration:0
book,book,book of detect food,cyan book,,,,,,paper,0,48,500,200,15,standard,FALSE,study:LearnSpell:|/divination:3
book,book,book of detect metal,antique book,,,,,,paper,0,64,500,300,14,standard,FALSE,study:LearnSpell:|/divination:6
book,book,book of detect monsters,leather book,,,,,,paper,0,32,500,100,20,standard,FALSE,study:LearnSpell:|/divination:0
book,book,book of detect treasure,grey book,,,,,,paper,0,80,500,400,25,standard,FALSE,study:LearnSpell:|/divination:9
book,book,book of detect undead,obsidian book,,,,,,paper,0,48,500,200,11,standard,FALSE,study:LearnSpell:|/divination:3
book,book,book of detect unseen,violet book,,,,,,paper,0,64,500,300,15,standard,FALSE,study:LearnSpell:|/divination:6
book,book,book of dig,parchment book,,,,,,paper,0,96,500,500,20,standard,FALSE,study:LearnSpell:|/transmutation:12
book,book,book of disarming ward,storm wracked book,,,,,,paper,0,80,500,400,16,standard,FALSE,study:LearnSpell:|/abjuration:9
book,book,book of discord,cracked book,,,,,,paper,0,80,500,400,16,standard,FALSE,study:LearnSpell:|/enchantment:9
book,book,book of disintegrate,yellow book,,,,,,paper,0,128,500,700,5,standard,FALSE,study:LearnSpell:|/transmutation:18
book,book,book of dispel magic,damascened book,,,,,,paper,0,112,500,600,9,standard,FALSE,study:LearnSpell:|/abjuration:15
book,book,book of displacement,shimmering book,,,,,,paper,0,64,500,300,14,standard,FALSE,study:LearnSpell:|/abjuration:6
book,book,book of divine favor,radiant book,,,,,,paper,0,112,500,600,9,standard,FALSE,study:LearnSpell:|/clerical:15
book,book,book of divine intervention,celestial book,,,,,,paper,0,128,500,700,6,standard,FALSE,study:LearnSpell:|/clerical:18
book,book,book of dominate mind,bloodstained book,,,,,,paper,0,112,500,600,9,standard,FALSE,study:LearnSpell:|/enchantment:15
book,book,book of drain life,velvet book,,,,,,paper,0,64,500,300,10,standard,FALSE,study:LearnSpell:|/necromancy:6
book,book,book of earthen colossus,boulder bound book,,,,,,paper,0,112,500,600,9,standard,FALSE,study:LearnSpell:|/conjuration:15
book,book,book of elemental servant,clasped book,,,,,,paper,0,96,500,500,12,standard,FALSE,study:LearnSpell:|/conjuration:12
book,book,book of elemental warding,cut glass book,,,,,,paper,0,96,500,500,12,standard,FALSE,study:LearnSpell:|/abjuration:12
book,book,book of ember lance,cindered book,,,,,,paper,0,64,500,300,9,standard,FALSE,study:LearnSpell:|/evocation:6
book,book,book of enlarge,shale book,,,,,,paper,0,64,500,300,13,standard,FALSE,study:LearnSpell:|/transmutation:6
book,book,book of entangling vines,mossy book,,,,,,paper,0,48,500,200,24,standard,FALSE,study:LearnSpell:|/conjuration:3
book,book,book of entropic siphon,etched book,,,,,,paper,0,96,500,500,11,standard,FALSE,study:LearnSpell:|/evocation:12
book,book,book of extra healing,plaid book,,,,,,paper,0,64,500,300,15,standard,FALSE,study:LearnSpell:|/clerical:6
book,book,book of false life,waxen book,,,,,,paper,0,32,500,100,7,standard,FALSE,study:LearnSpell:|/necromancy:0
book,book,book of fear,light blue book,,,,,,paper,0,64,500,300,20,standard,FALSE,study:LearnSpell:|/enchantment:6
book,book,book of find doors,brass book,,,,,,paper,0,64,500,300,14,standard,FALSE,study:LearnSpell:|/divination:6
book,book,book of find traps,russet book,,,,,,paper,0,48,500,200,11,standard,FALSE,study:LearnSpell:|/divination:3
book,book,book of finger of death,stained book,,,,,,paper,0,128,500,700,5,standard,FALSE,study:LearnSpell:|/necromancy:18
book,book,book of fireball,ragged book,,,,,,paper,0,80,500,400,15,standard,FALSE,study:LearnSpell:|/evocation:9
book,book,book of flaming sphere,canvas book,,,,,,paper,0,48,500,200,20,standard,FALSE,study:LearnSpell:|/conjuration:3
book,book,book of force bolt,red book,,,,,,paper,0,32,500,100,25,standard,FALSE,study:LearnSpell:|/evocation:0
book,book,book of foreknowledge,opaline book,,,,,,paper,0,80,500,400,16,standard,FALSE,study:LearnSpell:|/divination:9
book,book,book of freedom,unbound book,,,,,,paper,0,48,500,200,9,standard,FALSE,study:LearnSpell:|/abjuration:3
book,book,book of freedom of movement,linen book,,,,,,paper,0,64,500,300,11,standard,FALSE,study:LearnSpell:|/clerical:6
book,book,book of freezing sphere,hardcover book,,,,,,paper,0,48,500,200,20,standard,FALSE,study:LearnSpell:|/conjuration:3
book,book,book of frost breath,rimed book,,,,,,paper,0,48,500,200,8,standard,FALSE,study:LearnSpell:|/evocation:3
book,book,book of full healing,long book,,,,,,paper,0,96,500,500,5,standard,FALSE,study:LearnSpell:|/clerical:12
book,book,book of gate,starless book,,,,,,paper,0,128,500,700,6,standard,FALSE,study:LearnSpell:|/conjuration:18
book,book,book of gilding touch,cobblestone book,,,,,,paper,0,80,500,400,16,standard,FALSE,study:LearnSpell:|/transmutation:9
